1,2020-05-15 17:53:02,New York,"Ravens’ owner Steve Bisciotti and his wife, Renee, donated $1 million to the Maryland Food Bank to help the growing need for assistance during the COVID-19 pandemic."
2,2020-05-15 21:15:38,"Manhattan, NY","Inbox: Sen. Kamala Harris has led her colleagues in a letter to FEMA Administrator Gaynor and HHS Secretary Azar demanding an accurate death count and consistent statistics during the COVID-19 pandemic, after the Trump admin suggested the death toll might be lower than reported."
3,2020-05-16 05:44:59,"New Delhi, India","Migrant crisis is now as big as corona pandemic itself

Govt cannot be a bystander as poor either go hungry or lose their lives in accidents 

Speeches are not a solution.1000 cr of PM care funds must reach their hands 

If need be govt must use Army to help migrants reach safely"
4,2020-05-16 23:59:06,,"@nytimes @MikeIsaac @sheeraf @ceciliakang What???

Did he stop ranking how hot the girls on campus are b/c everyone went home after the COVID-19 pandemic?"
5,2020-05-16 23:58:48,kumasi_Suame ,Tory against #COVID__19 pandemic
6,2020-05-16 23:58:23,,"@TheRevAl @hughhewitt If this Corona Pandemic wasn’t so serious, his statement would be laughable!"
7,2020-05-16 23:57:23,"Melbourne, Australia",Missed a great opportunity this week to discuss the lack of Fed Gov funding for the COVID-19 pandemic mental health plan. $48mill for plan is worful. #insiders
8,2020-05-16 23:57:15,,@KimberlyKern77 @MisSouthms They can simultaneously believe his claim that Corona virus is ‘totally under control’ and that he ‘knew all along that it was going to be a pandemic’. That’s mental dexterity 🤣🤣🤣
9,2020-05-16 23:57:09,"North Carolina, USA",Bill Gates and his Davis buddies organized a rehearsal for COVID 19 in NYC in November. They discussed messaging and all sorts of details. Two months later COV19 reaches our shores. This is all about a vaccine to reduce population. That’s the PURPOSE of this man made pandemic.
10,2020-05-16 23:56:52,"Fort Collins, CO",Is anybody else getting tired of Face ID not working because you’re wearing a mask? I really want touch ID to come back. #Pandemic #iPhone #COVID19 @Apple
11,2020-05-16 23:55:41,United Kingdom,@agriprince @PTAofficialpk @Shafeeq40708920 I think last year i used it but did'nt registered because it was'nt meeded that time.this time i came back but it did'nt worked.PTA should give us 60 days time again specially under CORONA PANDEMIC #Covid_19
12,2020-05-16 23:54:07,,@TruthSleuthYT The HIV/Aids pandemic has been going on for many years now. Many palettes have been released during that time. Death is 24/7/365. No time would be a good time with this logic. Covid-19 deaths are not more important than all of the others daily ffs.
13,2020-05-16 23:54:05,,"@seyiamakinde Sir, our major problems in this state are Commercial drivers, Okada riders, and law enforcement agents. If these set of people can be controlled, our problem in this state as per COVID-19 pandemic is half solved."
14,2020-05-16 23:53:20,Manas-Sarovar,"clean the air of poisonous substances and harmful organisms. I learnt this Homa in the 90s from a group of people who spread the findings of the research and the utility of the Homa. At the current time of crisis of the pandemic spread of Corona Virus (Covid-19) 
~2~"
15,2020-05-16 23:53:00,,@atsudavoh #MyBitsikaafrica #MyBitsikastory $Adeoyesams$ Sir I work in a company called zartech when the covid19 pandemic started they sacked many workers but am lucky to be among those who are still working RightNow but I don't have much to go to work till the end of the month
16,2020-05-15 17:52:54,"Ndhiwa, Kenya","@SilasMucani Given the fulfilment of the prophecy of corona virus pandemic the world must now listen to the two Mightiest prophets of Jehovah.
#GlobalFridayService"
17,2020-05-15 17:52:52,,"@AP Sweet fucking Jesus !! They can’t be serious. Maybe the #coronavirus #pandemic is happening because the Tooth Fairy’s telling everyone to stay home and eat more sweets. Or, it’s Santa Claus giving more people more time to improve their Christmas presents list.  #covid19"
